client_id,client_name,client_type,region,signup_date
C0470,Cameron T. Wilson,Industrial,North,2024-06-29
C0471,Bailey B. Martin,Commercial,North,2024-10-04
C0472,Quinn U. Rodriguez,Residential,East,2024-10-17
C0473,Charlie E. Thomas,Commercial,West,2024-10-02
C0474,Emerson B. Miller,Industrial,South,2024-11-23
C0475,Jordan J. White,Residential,North,2024-10-13
C0476,Jordan X. White,Commercial,North,2024-09-23
C0477,Hayden B. Johnson,Industrial,West,2024-11-17
C0478,Bailey Q. Lopez,Residential,East,2025-02-19
C0479,Hayden D. White,Industrial,West,2024-11-15
C0480,Jordan Y. Martin,Residential,South,2025-05-13
C0481,Morgan A. Garcia,Commercial,North,2025-04-04
C0482,Taylor N. Lopez,Residential,North,2025-02-02
C0483,Hayden H. Miller,Industrial,North,2024-11-29
C0484,Hayden D. Williams,Residential,South,2024-08-25
C0485,Hayden B. Rodriguez,Commercial,East,2025-02-05
C0486,Rowan E. Davis,Industrial,East,2025-05-02
C0487,Taylor E. Martin,Industrial,East,2024-08-08
C0488,Riley I. Martin,Industrial,West,2024-09-17
C0489,Casey S. Davis,Residential,South,2024-08-05
C0490,Quinn N. Anderson,Commercial,East,2024-07-18
C0491,Drew I. Anderson,Commercial,North,2025-04-15
C0492,Charlie E. Garcia,Commercial,South,2024-11-19
C0493,Taylor Q. Davis,Industrial,North,2024-07-22
C0494,Alex S. Hernandez,Industrial,West,2024-11-06
C0495,Dakota H. Thompson,Industrial,South,2024-08-15
C0496,Drew M. Jones,Commercial,North,2025-02-10
C0497,Jordan E. Jackson,Commercial,East,2025-01-06
C0498,Peyton P. Miller,Commercial,West,2024-12-22
